source_row_id,country,total_energy_consumption_rank,total_energy_consumption_year,total_energy_consumption_exajoules,price_period,household_price_usd_per_kwh,business_price_usd_per_kwh,mix_year,electricity_generation_solar_pct,electricity_generation_wind_pct,electricity_generation_oil_and_other_fossil_pct,electricity_generation_gas_pct,electricity_generation_coal_pct,electricity_generation_hydro_pct,electricity_generation_other_pct,primary_energy_consumption_solar_pct,primary_energy_consumption_wind_pct,primary_energy_consumption_oil_pct,primary_energy_consumption_gas_pct,primary_energy_consumption_coal_pct,primary_energy_consumption_hydro_pct,primary_energy_consumption_other_pct,total_energy_production_trade_year,total_energy_domestic_production_ej,total_energy_gross_imports_ej,total_energy_gross_exports_ej,total_energy_net_imports_ej
energy-data.csv:2,China,1,2024,180,2025-12,0.079,0.117,2024,8.32,9.88,0.88,3.18,57.77,13.43,6.54,4.22,5.02,18.49,8.96,52.81,6.81,3.69,2023,135.670912,43.973433,3.624973,40.34846
energy-data.csv:3,United States,2,2024,99.76,2025-12,0.203,0.145,2024,6.92,10.29,0.69,42.58,14.85,5.4,19.27,2.83,4.24,37.76,34.24,8.33,2.21,10.39,2023,101.586237,21.472075,29.548686,-8.076611
energy-data.csv:4,India,3,2024,39.55,2025-12,0.071,0.109,2024,7.03,4,0.2,2.77,74.53,7.69,3.78,2.96,1.76,26.86,6.23,56.58,3.39,2.22,2023,29.639909,19.741631,2.812008,16.929623
energy-data.csv:5,Russia,4,2024,36.17,2025-12,0.078,0.124,2024,0.24,0.38,1.14,45.13,17.79,17.41,17.91,0.08,0.12,23.64,52.96,11.56,5.7,5.94,2023,57.912663,0.698297,25.248843,-24.550546
energy-data.csv:6,Japan,5,2024,16.53,2025-12,0.225,0.185,2024,9.51,1.14,2.46,34.07,32.19,7.82,12.81,4.95,0.59,37.43,19.1,26.43,4.07,7.43,2023,2.404905,14.3805,0.552012,13.828488
energy-data.csv:7,Iran,6,2024,14.73,2025-12,,,2024,0.23,0.32,6.72,85.92,0.18,4.77,1.86,0.06,0.08,29.13,68.42,0.51,1.28,0.52,2023,16.382525,0.148542,3.78372,-3.635178
energy-data.csv:8,Canada,7,2024,13.38,2025-12,0.121,0.115,2024,1.48,7.35,1.15,17.21,3.95,53.9,14.96,0.6,2.99,31.64,33.63,2.12,21.9,7.12,2023,23.79263,3.043836,14.078151,-11.034315
energy-data.csv:9,South Korea,8,2024,13.1,2025-12,0.13,0.118,2024,5.23,0.54,1.08,28.52,30.51,0.69,33.43,2.22,0.23,42.78,17.68,22.01,0.29,14.79,2023,2.478175,12.520464,2.744926,9.775538
energy-data.csv:10,Saudi Arabia,9,2024,12.53,2025-12,0.053,0.074,2024,1.81,0.35,34.5,63.34,0,0,0,0.61,0.12,62.28,36.94,0.05,0,0,2023,26.395856,1.00482,16.934216,-15.929396
energy-data.csv:11,Indonesia,10,2024,12,2025-12,0.082,0.063,2024,0.36,0.13,1.92,18.51,61.48,7.35,10.25,0.08,0.04,29.39,15.81,43.85,2.16,8.67,2023,22.988352,2.563682,12.86314,-10.299458
energy-data.csv:12,Brazil,11,2024,11.27,2025-12,0.18,0.158,2024,9.56,14.55,1.84,6.54,2.17,55.41,9.93,4.55,6.92,37.32,8.2,3.86,26.34,12.81,2023,15.207293,2.556428,4.347816,-1.791388
energy-data.csv:13,Germany,12,2024,10.47,2025-12,0.399,0.266,2024,14.95,28.55,4.11,15.81,21.44,4.8,10.34,5.73,10.73,37.27,24.89,13.88,1.72,5.78,2023,3.396494,8.622202,1.42485,7.197352
energy-data.csv:14,France,13,2024,9.03,2025-12,0.267,0.17,2024,4.43,8.09,1.7,3.22,0.18,12.66,69.72,2.28,4.63,31.26,12.88,1.99,6.97,39.99,2023,4.937569,5.654834,1.423925,4.230909
energy-data.csv:15,Mexico,14,2024,8.22,2025-12,0.124,0.242,2024,7.24,5.56,9.52,62.41,3.49,6.63,5.15,2.73,2.09,43.48,43.56,3.41,2.49,2.24,2023,6.753067,4.109539,2.784199,1.32534
energy-data.csv:16,United Kingdom,15,2024,6.76,2025-12,0.429,0.451,2024,5.2,29.31,4.03,30.37,0.67,2.03,28.39,1.88,10.7,38.82,32.27,2.45,0.73,13.15,2023,3.954136,5.336975,2.649795,2.68718
