total_energy_consumption_rank,country,total_energy_consumption_year,total_energy_consumption_exajoules,energy_price_type,household_price_usd_per_kwh,business_price_usd_per_kwh,price_period,local_currency,household_price_local_currency_per_kwh,business_price_local_currency_per_kwh,price_basis,price_source_url,consumption_source_url,accessed_date,notes,mix_year,electricity_generation_solar_pct,electricity_generation_wind_pct,electricity_generation_oil_and_other_fossil_pct,electricity_generation_gas_pct,electricity_generation_coal_pct,electricity_generation_hydro_pct,electricity_generation_other_pct,primary_energy_consumption_solar_pct,primary_energy_consumption_wind_pct,primary_energy_consumption_oil_pct,primary_energy_consumption_gas_pct,primary_energy_consumption_coal_pct,primary_energy_consumption_hydro_pct,primary_energy_consumption_other_pct,electricity_mix_basis,primary_energy_mix_basis,mix_source_url,mix_definitions_url,mix_notes,total_energy_production_trade_year,total_energy_domestic_production_ej,total_energy_gross_imports_ej,total_energy_gross_exports_ej,total_energy_net_imports_ej,electricity_production_trade_year,electricity_domestic_generation_twh,electricity_gross_imports_twh,electricity_gross_exports_twh,electricity_net_imports_twh,total_energy_production_trade_source_url,electricity_production_trade_source_url,production_trade_notes
1,China,2024,180,Electricity,0.079,0.117,2025-12,CNY,0.532,0.782,"Retail electricity including supply, transmission, distribution, taxes and fees. Household: average annual household use; business: 1000000 kWh/year.",https://www.globalpetrolprices.com/China/electricity_prices/,https://www.worldometers.info/energy/energy-by-country/?sort=consumption,2026-09-16,"USD values as displayed by source; exchange-rate date unspecified. Electricity only, not total energy spending. Ranking uses total national energy consumption, not per-capita or electricity consumption.",2024,8.32,9.88,0.88,3.18,57.77,13.43,6.54,4.22,5.02,18.49,8.96,52.81,6.81,3.69,"Share of electricity generated domestically, not capacity or electricity consumed.",Share of primary energy consumed using the substitution method; includes transport and heating. Not domestic energy extraction/production. Traditional biomass is excluded.,https://owid-public.owid.io/data/energy/owid-energy-data.csv,https://github.com/owid/energy-data/blob/master/owid-energy-codebook.csv,"Shares expressed as percentages (0-100), rounded to 2 decimals. Other is 100 minus the six displayed shares and includes nuclear and other renewables. Electricity oil_and_other_fossil uses OWID oil_share_elec, mapped from Ember Other fossil; not a pure-oil estimate. The primary-energy oil share is separate oil consumption. Mix source: Our World in Data, Ember electricity data (2026), Energy Institute Statistical Review (2025).",2023,135.670912,43.973433,3.624973,40.34846,2024,10161.504461,5,22,-17,https://api.iea.org/stats?year=2023&countries=CHINA&series=BALANCES,https://www.eia.gov/opendata/browser/international?frequency=annual&data=value&facets=productId;countryRegionId;unit&productId=2;&countryRegionId=CHN;&unit=BKWH;&start=2024&end=2024,"Gross imports and exports are cross-border flows. Negative net imports mean net exports. Domestic production includes output that may be exported. Total energy: IEA 2023 energy balances, TJ divided by 1000000 to get EJ; exports converted from signed balance entries to positive volumes. Electricity: EIA 2024, billion kWh equals TWh. EIA generation totals may differ from the OWID/Ember generation used for the existing source-share columns. IEA balances use different primary-energy accounting from the existing OWID substitution-method shares; do not multiply those shares by these production totals. Electricity imports and exports are preliminary in the EIA source."
2,United States,2024,99.76,Electricity,0.203,0.145,2025-12,USD,0.203,0.145,"Retail electricity including supply, transmission, distribution, taxes and fees. Household: average annual household use; business: 1000000 kWh/year.",https://www.globalpetrolprices.com/USA/global_diesel/,https://www.worldometers.info/energy/energy-by-country/?sort=consumption,2026-09-16,"USD values as displayed by source; exchange-rate date unspecified. Electricity only, not total energy spending. Ranking uses total national energy consumption, not per-capita or electricity consumption.",2024,6.92,10.29,0.69,42.58,14.85,5.4,19.27,2.83,4.24,37.76,34.24,8.33,2.21,10.39,"Share of electricity generated domestically, not capacity or electricity consumed.",Share of primary energy consumed using the substitution method; includes transport and heating. Not domestic energy extraction/production. Traditional biomass is excluded.,https://owid-public.owid.io/data/energy/owid-energy-data.csv,https://github.com/owid/energy-data/blob/master/owid-energy-codebook.csv,"Shares expressed as percentages (0-100), rounded to 2 decimals. Other is 100 minus the six displayed shares and includes nuclear and other renewables. Electricity oil_and_other_fossil uses OWID oil_share_elec, mapped from Ember Other fossil; not a pure-oil estimate. The primary-energy oil share is separate oil consumption. Mix source: Our World in Data, Ember electricity data (2026), Energy Institute Statistical Review (2025).",2023,101.586237,21.472075,29.548686,-8.076611,2024,4392.552346,33.254488,19.437047,13.817441,https://api.iea.org/stats?year=2023&countries=USA&series=BALANCES,https://www.eia.gov/opendata/browser/international?frequency=annual&data=value&facets=productId;countryRegionId;unit&productId=2;&countryRegionId=USA;&unit=BKWH;&start=2024&end=2024,"Gross imports and exports are cross-border flows. Negative net imports mean net exports. Domestic production includes output that may be exported. Total energy: IEA 2023 energy balances, TJ divided by 1000000 to get EJ; exports converted from signed balance entries to positive volumes. Electricity: EIA 2024, billion kWh equals TWh. EIA generation totals may differ from the OWID/Ember generation used for the existing source-share columns. IEA balances use different primary-energy accounting from the existing OWID substitution-method shares; do not multiply those shares by these production totals."
3,India,2024,39.55,Electricity,0.071,0.109,2025-12,INR,6.78,10.31,"Retail electricity including supply, transmission, distribution, taxes and fees. Household: average annual household use; business: 1000000 kWh/year.",https://www.globalpetrolprices.com/India/electricity_prices/,https://www.worldometers.info/energy/energy-by-country/?sort=consumption,2026-09-16,"USD values as displayed by source; exchange-rate date unspecified. Electricity only, not total energy spending. Ranking uses total national energy consumption, not per-capita or electricity consumption.",2024,7.03,4,0.2,2.77,74.53,7.69,3.78,2.96,1.76,26.86,6.23,56.58,3.39,2.22,"Share of electricity generated domestically, not capacity or electricity consumed.",Share of primary energy consumed using the substitution method; includes transport and heating. Not domestic energy extraction/production. Traditional biomass is excluded.,https://owid-public.owid.io/data/energy/owid-energy-data.csv,https://github.com/owid/energy-data/blob/master/owid-energy-codebook.csv,"Shares expressed as percentages (0-100), rounded to 2 decimals. Other is 100 minus the six displayed shares and includes nuclear and other renewables. Electricity oil_and_other_fossil uses OWID oil_share_elec, mapped from Ember Other fossil; not a pure-oil estimate. The primary-energy oil share is separate oil consumption. Mix source: Our World in Data, Ember electricity data (2026), Energy Institute Statistical Review (2025).",2023,29.639909,19.741631,2.812008,16.929623,2024,2051.784852,7.7,10,-2.3,https://api.iea.org/stats?year=2023&countries=INDIA&series=BALANCES,https://www.eia.gov/opendata/browser/international?frequency=annual&data=value&facets=productId;countryRegionId;unit&productId=2;&countryRegionId=IND;&unit=BKWH;&start=2024&end=2024,"Gross imports and exports are cross-border flows. Negative net imports mean net exports. Domestic production includes output that may be exported. Total energy: IEA 2023 energy balances, TJ divided by 1000000 to get EJ; exports converted from signed balance entries to positive volumes. Electricity: EIA 2024, billion kWh equals TWh. EIA generation totals may differ from the OWID/Ember generation used for the existing source-share columns. IEA balances use different primary-energy accounting from the existing OWID substitution-method shares; do not multiply those shares by these production totals. Electricity imports and exports are preliminary in the EIA source."
4,Russia,2024,36.17,Electricity,0.078,0.124,2025-12,RUB,6.58,10.421,"Retail electricity including supply, transmission, distribution, taxes and fees. Household: average annual household use; business: 1000000 kWh/year.",https://www.globalpetrolprices.com/Russia/electricity_prices/,https://www.worldometers.info/energy/energy-by-country/?sort=consumption,2026-09-16,"USD values as displayed by source; exchange-rate date unspecified. Electricity only, not total energy spending. Ranking uses total national energy consumption, not per-capita or electricity consumption.",2024,0.24,0.38,1.14,45.13,17.79,17.41,17.91,0.08,0.12,23.64,52.96,11.56,5.7,5.94,"Share of electricity generated domestically, not capacity or electricity consumed.",Share of primary energy consumed using the substitution method; includes transport and heating. Not domestic energy extraction/production. Traditional biomass is excluded.,https://owid-public.owid.io/data/energy/owid-energy-data.csv,https://github.com/owid/energy-data/blob/master/owid-energy-codebook.csv,"Shares expressed as percentages (0-100), rounded to 2 decimals. Other is 100 minus the six displayed shares and includes nuclear and other renewables. Electricity oil_and_other_fossil uses OWID oil_share_elec, mapped from Ember Other fossil; not a pure-oil estimate. The primary-energy oil share is separate oil consumption. Mix source: Our World in Data, Ember electricity data (2026), Energy Institute Statistical Review (2025).",2023,57.912663,0.698297,25.248843,-24.550546,2024,1160.215843,1.6,18,-16.4,https://api.iea.org/stats?year=2023&countries=RUSSIA&series=BALANCES,https://www.eia.gov/opendata/browser/international?frequency=annual&data=value&facets=productId;countryRegionId;unit&productId=2;&countryRegionId=RUS;&unit=BKWH;&start=2024&end=2024,"Gross imports and exports are cross-border flows. Negative net imports mean net exports. Domestic production includes output that may be exported. Total energy: IEA 2023 energy balances, TJ divided by 1000000 to get EJ; exports converted from signed balance entries to positive volumes. Electricity: EIA 2024, billion kWh equals TWh. EIA generation totals may differ from the OWID/Ember generation used for the existing source-share columns. IEA balances use different primary-energy accounting from the existing OWID substitution-method shares; do not multiply those shares by these production totals. Electricity imports and exports are preliminary in the EIA source."
5,Japan,2024,16.53,Electricity,0.225,0.185,2025-12,JPY,34.707,28.51,"Retail electricity including supply, transmission, distribution, taxes and fees. Household: average annual household use; business: 1000000 kWh/year.",https://www.globalpetrolprices.com/Japan/electricity_prices/,https://www.worldometers.info/energy/energy-by-country/?sort=consumption,2026-09-16,"USD values as displayed by source; exchange-rate date unspecified. Electricity only, not total energy spending. Ranking uses total national energy consumption, not per-capita or electricity consumption.",2024,9.51,1.14,2.46,34.07,32.19,7.82,12.81,4.95,0.59,37.43,19.1,26.43,4.07,7.43,"Share of electricity generated domestically, not capacity or electricity consumed.",Share of primary energy consumed using the substitution method; includes transport and heating. Not domestic energy extraction/production. Traditional biomass is excluded.,https://owid-public.owid.io/data/energy/owid-energy-data.csv,https://github.com/owid/energy-data/blob/master/owid-energy-codebook.csv,"Shares expressed as percentages (0-100), rounded to 2 decimals. Other is 100 minus the six displayed shares and includes nuclear and other renewables. Electricity oil_and_other_fossil uses OWID oil_share_elec, mapped from Ember Other fossil; not a pure-oil estimate. The primary-energy oil share is separate oil consumption. Mix source: Our World in Data, Ember electricity data (2026), Energy Institute Statistical Review (2025).",2023,2.404905,14.3805,0.552012,13.828488,2024,907.014829,0,0,0,https://api.iea.org/stats?year=2023&countries=JAPAN&series=BALANCES,https://www.eia.gov/opendata/browser/international?frequency=annual&data=value&facets=productId;countryRegionId;unit&productId=2;&countryRegionId=JPN;&unit=BKWH;&start=2024&end=2024,"Gross imports and exports are cross-border flows. Negative net imports mean net exports. Domestic production includes output that may be exported. Total energy: IEA 2023 energy balances, TJ divided by 1000000 to get EJ; exports converted from signed balance entries to positive volumes. Electricity: EIA 2024, billion kWh equals TWh. EIA generation totals may differ from the OWID/Ember generation used for the existing source-share columns. IEA balances use different primary-energy accounting from the existing OWID substitution-method shares; do not multiply those shares by these production totals."
6,Iran,2024,14.73,Electricity,,,2025-12,IRR,,,"Retail electricity including supply, transmission, distribution, taxes and fees. Household: average annual household use; business: 1000000 kWh/year.",https://www.globalpetrolprices.com/Iran/electricity_prices/,https://www.worldometers.info/energy/energy-by-country/?sort=consumption,2026-09-16,"USD values as displayed by source; exchange-rate date unspecified. Electricity only, not total energy spending. Ranking uses total national energy consumption, not per-capita or electricity consumption. Prices unavailable: source displays 0.000 in both IRR and USD for households and omits business price. Suspect zero not treated as a valid free-electricity tariff; numeric prices left blank.",2024,0.23,0.32,6.72,85.92,0.18,4.77,1.86,0.06,0.08,29.13,68.42,0.51,1.28,0.52,"Share of electricity generated domestically, not capacity or electricity consumed.",Share of primary energy consumed using the substitution method; includes transport and heating. Not domestic energy extraction/production. Traditional biomass is excluded.,https://owid-public.owid.io/data/energy/owid-energy-data.csv,https://github.com/owid/energy-data/blob/master/owid-energy-codebook.csv,"Shares expressed as percentages (0-100), rounded to 2 decimals. Other is 100 minus the six displayed shares and includes nuclear and other renewables. Electricity oil_and_other_fossil uses OWID oil_share_elec, mapped from Ember Other fossil; not a pure-oil estimate. The primary-energy oil share is separate oil consumption. Mix source: Our World in Data, Ember electricity data (2026), Energy Institute Statistical Review (2025).",2023,16.382525,0.148542,3.78372,-3.635178,2024,388.865793,3.2,5.6,-2.4,https://api.iea.org/stats?year=2023&countries=IRAN&series=BALANCES,https://www.eia.gov/opendata/browser/international?frequency=annual&data=value&facets=productId;countryRegionId;unit&productId=2;&countryRegionId=IRN;&unit=BKWH;&start=2024&end=2024,"Gross imports and exports are cross-border flows. Negative net imports mean net exports. Domestic production includes output that may be exported. Total energy: IEA 2023 energy balances, TJ divided by 1000000 to get EJ; exports converted from signed balance entries to positive volumes. Electricity: EIA 2024, billion kWh equals TWh. EIA generation totals may differ from the OWID/Ember generation used for the existing source-share columns. IEA balances use different primary-energy accounting from the existing OWID substitution-method shares; do not multiply those shares by these production totals. Electricity imports and exports are preliminary in the EIA source."
7,Canada,2024,13.38,Electricity,0.121,0.115,2025-12,CAD,0.169,0.16,"Retail electricity including supply, transmission, distribution, taxes and fees. Household: average annual household use; business: 1000000 kWh/year.",https://www.globalpetrolprices.com/Canada/electricity_prices/,https://www.worldometers.info/energy/energy-by-country/?sort=consumption,2026-09-16,"USD values as displayed by source; exchange-rate date unspecified. Electricity only, not total energy spending. Ranking uses total national energy consumption, not per-capita or electricity consumption.",2024,1.48,7.35,1.15,17.21,3.95,53.9,14.96,0.6,2.99,31.64,33.63,2.12,21.9,7.12,"Share of electricity generated domestically, not capacity or electricity consumed.",Share of primary energy consumed using the substitution method; includes transport and heating. Not domestic energy extraction/production. Traditional biomass is excluded.,https://owid-public.owid.io/data/energy/owid-energy-data.csv,https://github.com/owid/energy-data/blob/master/owid-energy-codebook.csv,"Shares expressed as percentages (0-100), rounded to 2 decimals. Other is 100 minus the six displayed shares and includes nuclear and other renewables. Electricity oil_and_other_fossil uses OWID oil_share_elec, mapped from Ember Other fossil; not a pure-oil estimate. The primary-energy oil share is separate oil consumption. Mix source: Our World in Data, Ember electricity data (2026), Energy Institute Statistical Review (2025).",2023,23.79263,3.043836,14.078151,-11.034315,2024,611.344773,23.214377,35.642066,-12.427689,https://api.iea.org/stats?year=2023&countries=CANADA&series=BALANCES,https://www.eia.gov/opendata/browser/international?frequency=annual&data=value&facets=productId;countryRegionId;unit&productId=2;&countryRegionId=CAN;&unit=BKWH;&start=2024&end=2024,"Gross imports and exports are cross-border flows. Negative net imports mean net exports. Domestic production includes output that may be exported. Total energy: IEA 2023 energy balances, TJ divided by 1000000 to get EJ; exports converted from signed balance entries to positive volumes. Electricity: EIA 2024, billion kWh equals TWh. EIA generation totals may differ from the OWID/Ember generation used for the existing source-share columns. IEA balances use different primary-energy accounting from the existing OWID substitution-method shares; do not multiply those shares by these production totals."
8,South Korea,2024,13.1,Electricity,0.13,0.118,2025-12,KRW,170.84,155.852,"Retail electricity including supply, transmission, distribution, taxes and fees. Household: average annual household use; business: 1000000 kWh/year.",https://www.globalpetrolprices.com/South-Korea/electricity_prices/,https://www.worldometers.info/energy/energy-by-country/?sort=consumption,2026-09-16,"USD values as displayed by source; exchange-rate date unspecified. Electricity only, not total energy spending. Ranking uses total national energy consumption, not per-capita or electricity consumption.",2024,5.23,0.54,1.08,28.52,30.51,0.69,33.43,2.22,0.23,42.78,17.68,22.01,0.29,14.79,"Share of electricity generated domestically, not capacity or electricity consumed.",Share of primary energy consumed using the substitution method; includes transport and heating. Not domestic energy extraction/production. Traditional biomass is excluded.,https://owid-public.owid.io/data/energy/owid-energy-data.csv,https://github.com/owid/energy-data/blob/master/owid-energy-codebook.csv,"Shares expressed as percentages (0-100), rounded to 2 decimals. Other is 100 minus the six displayed shares and includes nuclear and other renewables. Electricity oil_and_other_fossil uses OWID oil_share_elec, mapped from Ember Other fossil; not a pure-oil estimate. The primary-energy oil share is separate oil consumption. Mix source: Our World in Data, Ember electricity data (2026), Energy Institute Statistical Review (2025).",2023,2.478175,12.520464,2.744926,9.775538,2024,577.806857,0,0,0,https://api.iea.org/stats?year=2023&countries=KOREA&series=BALANCES,https://www.eia.gov/opendata/browser/international?frequency=annual&data=value&facets=productId;countryRegionId;unit&productId=2;&countryRegionId=KOR;&unit=BKWH;&start=2024&end=2024,"Gross imports and exports are cross-border flows. Negative net imports mean net exports. Domestic production includes output that may be exported. Total energy: IEA 2023 energy balances, TJ divided by 1000000 to get EJ; exports converted from signed balance entries to positive volumes. Electricity: EIA 2024, billion kWh equals TWh. EIA generation totals may differ from the OWID/Ember generation used for the existing source-share columns. IEA balances use different primary-energy accounting from the existing OWID substitution-method shares; do not multiply those shares by these production totals."
9,Saudi Arabia,2024,12.53,Electricity,0.053,0.074,2025-12,SAR,0.2,0.277,"Retail electricity including supply, transmission, distribution, taxes and fees. Household: average annual household use; business: 1000000 kWh/year.",https://www.globalpetrolprices.com/Saudi-Arabia/electricity_prices/,https://www.worldometers.info/energy/energy-by-country/?sort=consumption,2026-09-16,"USD values as displayed by source; exchange-rate date unspecified. Electricity only, not total energy spending. Ranking uses total national energy consumption, not per-capita or electricity consumption.",2024,1.81,0.35,34.5,63.34,0,0,0,0.61,0.12,62.28,36.94,0.05,0,0,"Share of electricity generated domestically, not capacity or electricity consumed.",Share of primary energy consumed using the substitution method; includes transport and heating. Not domestic energy extraction/production. Traditional biomass is excluded.,https://owid-public.owid.io/data/energy/owid-energy-data.csv,https://github.com/owid/energy-data/blob/master/owid-energy-codebook.csv,"Shares expressed as percentages (0-100), rounded to 2 decimals. Other is 100 minus the six displayed shares and includes nuclear and other renewables. Electricity oil_and_other_fossil uses OWID oil_share_elec, mapped from Ember Other fossil; not a pure-oil estimate. The primary-energy oil share is separate oil consumption. Mix source: Our World in Data, Ember electricity data (2026), Energy Institute Statistical Review (2025). Electricity hydro is blank in the source and filled as 0 because the same dataset reports zero hydropower primary-energy consumption and share.",2023,26.395856,1.00482,16.934216,-15.929396,2024,445.756922,0.3,0.352,-0.052,https://api.iea.org/stats?year=2023&countries=SAUDIARABI&series=BALANCES,https://www.eia.gov/opendata/browser/international?frequency=annual&data=value&facets=productId;countryRegionId;unit&productId=2;&countryRegionId=SAU;&unit=BKWH;&start=2024&end=2024,"Gross imports and exports are cross-border flows. Negative net imports mean net exports. Domestic production includes output that may be exported. Total energy: IEA 2023 energy balances, TJ divided by 1000000 to get EJ; exports converted from signed balance entries to positive volumes. Electricity: EIA 2024, billion kWh equals TWh. EIA generation totals may differ from the OWID/Ember generation used for the existing source-share columns. IEA balances use different primary-energy accounting from the existing OWID substitution-method shares; do not multiply those shares by these production totals. Electricity imports and exports are preliminary in the EIA source."
10,Indonesia,2024,12,Electricity,0.082,0.063,2025-12,IDR,1444.7,1114.74,"Retail electricity including supply, transmission, distribution, taxes and fees. Household: average annual household use; business: 1000000 kWh/year.",https://www.globalpetrolprices.com/Indonesia/electricity_prices/?trp-edit-translation=preview,https://www.worldometers.info/energy/energy-by-country/?sort=consumption,2026-09-16,"USD values as displayed by source; exchange-rate date unspecified. Electricity only, not total energy spending. Ranking uses total national energy consumption, not per-capita or electricity consumption.",2024,0.36,0.13,1.92,18.51,61.48,7.35,10.25,0.08,0.04,29.39,15.81,43.85,2.16,8.67,"Share of electricity generated domestically, not capacity or electricity consumed.",Share of primary energy consumed using the substitution method; includes transport and heating. Not domestic energy extraction/production. Traditional biomass is excluded.,https://owid-public.owid.io/data/energy/owid-energy-data.csv,https://github.com/owid/energy-data/blob/master/owid-energy-codebook.csv,"Shares expressed as percentages (0-100), rounded to 2 decimals. Other is 100 minus the six displayed shares and includes nuclear and other renewables. Electricity oil_and_other_fossil uses OWID oil_share_elec, mapped from Ember Other fossil; not a pure-oil estimate. The primary-energy oil share is separate oil consumption. Mix source: Our World in Data, Ember electricity data (2026), Energy Institute Statistical Review (2025).",2023,22.988352,2.563682,12.86314,-10.299458,2024,404.85768,0.95751,0,0.95751,https://api.iea.org/stats?year=2023&countries=INDONESIA&series=BALANCES,https://www.eia.gov/opendata/browser/international?frequency=annual&data=value&facets=productId;countryRegionId;unit&productId=2;&countryRegionId=IDN;&unit=BKWH;&start=2024&end=2024,"Gross imports and exports are cross-border flows. Negative net imports mean net exports. Domestic production includes output that may be exported. Total energy: IEA 2023 energy balances, TJ divided by 1000000 to get EJ; exports converted from signed balance entries to positive volumes. Electricity: EIA 2024, billion kWh equals TWh. EIA generation totals may differ from the OWID/Ember generation used for the existing source-share columns. IEA balances use different primary-energy accounting from the existing OWID substitution-method shares; do not multiply those shares by these production totals."
